room_type,lead_time,length_of_stay,num_guests,is_weekend,season,previous_cancellations,special_requests,price,is_cancelled
Deluxe,91,6,3,0,low,0,3,23378.0,0
Suite,72,14,4,0,low,3,5,92494.0,1
Double,42,11,2,0,high,0,2,35350.0,0
Suite,79,13,2,0,low,5,0,74450.0,1
Double,78,9,1,1,low,0,4,18632.0,0
Suite,67,14,2,0,low,0,0,78194.0,0
Deluxe,62,11,4,0,low,0,3,38691.0,0
Deluxe,12,11,3,0,low,0,0,40037.0,0
Suite,31,3,1,0,mid,0,1,19432.0,0
Suite,63,8,3,1,mid,2,3,70041.0,0
Suite,16,11,3,1,mid,2,4,93922.0,0
Deluxe,57,11,1,1,low,1,0,38856.0,1
Single,14,14,4,1,high,0,1,34060.0,0
Double,95,5,1,0,mid,2,5,11874.0,1
Single,12,5,2,1,high,0,0,12785.0,0
Suite,11,14,2,1,low,1,1,88098.0,1
Single,77,14,3,0,low,1,5,18034.0,0
Single,26,3,4,1,high,0,3,8253.0,0
Single,42,6,1,1,high,0,0,13951.0,0
Deluxe,38,14,2,1,low,3,5,51634.0,0
Deluxe,26,3,2,0,mid,0,2,12216.0,1
Suite,92,11,4,0,mid,1,4,85963.0,1
Double,83,2,4,0,low,4,3,5154.0,1
Double,28,3,2,0,mid,0,2,8491.0,0
Single,83,11,3,1,low,0,2,16801.0,0
Single,86,9,4,0,low,0,3,12186.0,1
Double,65,8,4,1,high,2,2,36700.0,0
Suite,69,12,3,0,mid,0,1,94466.0,1
Deluxe,113,5,3,0,high,0,4,31867.0,1
Suite,54,8,4,1,mid,0,4,70171.0,0
Single,46,9,1,0,high,5,3,16542.0,1
Single,65,11,2,0,mid,2,4,16013.0,0
Suite,101,5,3,0,mid,1,3,38940.0,0
Single,85,9,1,0,low,4,5,10758.0,1
Single,9,7,3,1,mid,1,5,12940.0,1
Double,55,8,4,1,mid,4,5,25309.0,1
Suite,89,13,1,1,mid,0,0,96475.0,0
Deluxe,27,6,4,1,low,0,0,26083.0,0
Single,119,10,2,0,low,2,2,12028.0,1
Suite,97,14,4,1,high,0,4,154862.0,1
Suite,102,11,3,0,high,0,1,111846.0,1
Suite,9,14,1,0,low,1,0,72857.0,0
Suite,70,9,3,1,mid,1,0,80734.0,1
Single,63,4,1,0,mid,0,3,5592.0,0
Suite,75,14,1,1,high,0,5,124073.0,0
Double,102,10,4,1,low,0,2,26963.0,0
Suite,42,4,4,0,mid,0,4,33371.0,1
Deluxe,64,5,1,0,low,0,0,16491.0,1
Suite,82,4,2,1,low,0,1,26261.0,1
Deluxe,91,12,1,1,high,1,4,67910.0,1
Deluxe,93,2,2,1,low,0,2,7987.0,0
Deluxe,40,11,4,1,low,0,0,46445.0,0
Suite,120,8,1,0,low,1,1,46866.0,1
Deluxe,1,2,3,0,mid,0,4,9003.0,0
Single,59,9,4,1,mid,0,4,17997.0,0
Suite,73,11,4,0,low,0,4,74206.0,0
Deluxe,7,11,2,1,mid,1,2,47170.0,1
Double,54,8,3,1,high,0,5,32748.0,0
Deluxe,72,5,2,1,low,0,5,21507.0,1
Suite,73,3,1,0,high,0,2,30510.0,0
Suite,14,1,1,1,low,2,1,7207.0,1
Suite,33,6,3,0,mid,1,5,50648.0,0
Double,29,9,3,1,low,3,2,22660.0,0
Suite,77,1,3,0,low,1,2,6357.0,1
Double,39,14,4,1,low,0,5,36811.0,1
Deluxe,69,9,3,0,low,0,1,33971.0,1
Deluxe,88,5,2,0,high,0,5,25398.0,0
Single,96,14,2,0,mid,0,0,18818.0,1
Double,22,3,4,1,high,0,1,13573.0,1
Single,109,14,4,0,mid,0,2,23059.0,1
Single,20,4,1,0,mid,1,2,5886.0,0
Double,2,6,4,0,low,1,1,15881.0,0
Double,5,6,1,0,mid,0,5,14378.0,1
Single,24,14,4,0,low,0,3,18154.0,0
Double,105,4,3,0,high,0,4,14866.0,1
Deluxe,25,14,3,1,high,0,4,82191.0,1
Single,83,5,3,1,low,0,3,8103.0,1
Double,50,4,3,1,mid,0,3,12422.0,0
Double,4,9,2,1,mid,0,3,26597.0,0
Deluxe,53,10,4,0,mid,4,4,45077.0,1
Double,3,5,3,1,low,0,5,13453.0,0
Deluxe,57,2,3,0,mid,0,1,9999.0,0
Double,67,6,2,1,high,0,3,24351.0,0
Double,63,8,1,0,low,0,1,15519.0,1
Double,34,1,3,0,mid,0,1,2815.0,0
Single,92,2,2,0,low,4,5,2565.0,1
Deluxe,72,13,3,1,high,0,2,82138.0,1
Single,30,1,2,0,low,0,4,1398.0,0
Double,52,6,4,1,low,5,4,15619.0,1
Suite,13,11,3,0,low,0,0,63670.0,0
Suite,111,5,2,0,high,0,2,47725.0,1
Deluxe,91,7,3,1,mid,1,1,33183.0,0
Suite,34,2,3,1,low,0,1,15750.0,1
Suite,81,12,3,1,low,4,1,85542.0,1
Double,82,9,3,1,high,0,3,37051.0,1
Suite,73,12,4,1,mid,1,0,109540.0,1
Double,6,13,2,0,low,0,2,25487.0,0
Double,106,5,2,1,high,2,1,20074.0,1
Deluxe,115,1,2,1,low,2,5,4011.0,1
Suite,117,5,3,0,mid,2,4,39531.0,1
Suite,118,3,4,0,low,2,2,21774.0,1
Double,112,8,3,1,mid,1,1,23325.0,0
Deluxe,89,3,1,0,high,0,4,15753.0,0
Single,6,13,4,1,low,0,3,20760.0,0
Suite,56,9,4,0,mid,0,3,72880.0,1
Deluxe,29,4,2,0,high,0,0,22988.0,0
Deluxe,26,13,1,0,high,0,0,59548.0,0
Suite,100,11,2,0,mid,1,3,77702.0,1
Deluxe,98,7,4,0,mid,1,2,33490.0,1
Single,63,3,3,0,high,4,4,6656.0,1
Double,89,5,1,1,low,0,0,11060.0,1
Single,15,9,1,1,low,1,1,11747.0,0
Deluxe,26,11,4,0,low,1,4,38667.0,0
Single,104,4,2,0,high,5,5,8574.0,1
Single,54,11,3,1,low,1,4,17835.0,1
Deluxe,66,4,2,1,low,0,0,17549.0,0
Deluxe,55,4,1,1,mid,0,0,16876.0,1
Deluxe,24,7,2,1,low,4,5,28879.0,1
Suite,99,3,3,0,low,1,2,20378.0,0
Suite,91,6,2,0,mid,2,2,37930.0,1
Single,82,6,3,0,low,1,5,8290.0,0
Suite,42,4,2,1,high,1,1,44529.0,0
Deluxe,77,11,2,1,low,1,1,44337.0,1
Deluxe,115,5,2,1,high,3,4,30791.0,1
Single,78,10,2,1,mid,3,5,17431.0,1
Deluxe,59,11,2,1,low,0,2,41582.0,0
Deluxe,32,10,3,1,low,0,0,38290.0,1
Deluxe,63,4,2,0,mid,0,0,16299.0,0
Single,44,12,3,0,low,0,0,17005.0,1
Deluxe,73,4,2,0,low,2,2,14124.0,1
Suite,5,4,2,1,high,2,3,47602.0,1
Deluxe,23,13,4,0,mid,0,2,59157.0,0
Single,95,5,4,1,high,0,1,13550.0,0
Suite,46,10,2,0,low,0,4,54724.0,1
Suite,52,1,2,1,low,2,5,6964.0,1
Single,65,9,3,1,mid,1,1,17771.0,1
Suite,53,13,1,0,low,0,4,68584.0,0
Double,91,10,2,1,low,0,3,21935.0,0
Deluxe,29,9,3,1,low,0,4,39121.0,0
Double,91,12,3,0,low,0,0,23974.0,0
Suite,25,5,1,0,high,2,4,43486.0,1
Suite,44,6,1,1,low,3,4,39161.0,0
Suite,71,1,2,1,high,0,4,13216.0,0
Suite,107,10,1,0,low,0,5,56354.0,0
Suite,28,11,3,1,low,0,4,76684.0,0
Single,71,11,4,0,low,0,5,15674.0,0
Double,7,11,2,1,mid,0,4,32153.0,0
Deluxe,9,2,2,1,high,0,2,14224.0,1
Deluxe,92,10,1,0,high,0,5,48532.0,1
Single,86,11,1,0,low,2,4,12485.0,1
Single,45,3,3,1,mid,0,3,5639.0,0
Deluxe,75,7,2,0,high,2,3,39651.0,0
Deluxe,46,13,3,0,low,0,2,47434.0,0
Single,33,6,3,0,mid,0,3,8957.0,0
Single,52,11,4,0,low,0,2,15341.0,0
Single,37,8,1,0,mid,0,0,10483.0,0
Deluxe,98,10,3,1,mid,0,2,48924.0,1
Single,49,9,4,1,low,2,5,14122.0,0
Deluxe,38,10,2,1,high,3,1,57003.0,1
Double,64,11,1,0,mid,0,4,26140.0,0
Double,91,13,2,0,high,0,2,41354.0,0
Deluxe,33,5,4,1,mid,0,1,27297.0,0
Deluxe,113,13,4,1,low,1,2,56663.0,0
Deluxe,56,9,2,1,mid,0,5,43132.0,0
Suite,79,9,1,0,low,0,0,48235.0,0
Suite,115,5,2,0,high,2,4,48018.0,1
Suite,52,6,1,1,low,2,4,38238.0,0
Deluxe,24,10,3,0,high,1,1,60085.0,0
Double,90,6,4,1,mid,0,4,20251.0,0
Single,0,5,1,1,mid,0,3,8975.0,0
Deluxe,55,12,3,1,mid,0,2,58102.0,0
Single,118,6,4,0,mid,1,1,11573.0,1
Suite,50,10,3,1,mid,1,5,85291.0,0
Suite,82,1,4,1,mid,0,1,9848.0,0
Single,63,2,1,1,low,2,5,3185.0,0
Suite,25,12,3,1,mid,0,3,106361.0,0
Single,38,2,1,0,low,1,5,2674.0,0
Deluxe,63,12,4,1,mid,0,1,59394.0,0
Single,12,13,2,1,mid,0,0,20674.0,1
Double,50,7,1,1,low,0,3,14605.0,0
Deluxe,50,13,3,0,mid,1,2,55643.0,1
Deluxe,101,6,3,1,mid,0,3,30532.0,0
Double,14,14,2,0,mid,0,2,29925.0,1
Suite,101,4,2,1,mid,1,1,35760.0,0
Suite,49,6,1,1,mid,1,4,45111.0,0
Single,78,6,4,0,mid,1,3,10489.0,1
Deluxe,67,11,1,0,low,1,3,31114.0,0
Deluxe,36,1,4,0,low,1,4,4320.0,0
Double,112,12,3,0,mid,1,4,31749.0,0
Deluxe,27,1,3,0,low,0,1,3935.0,0
Suite,4,5,3,1,low,0,4,37302.0,0
Suite,90,9,4,1,low,0,1,79479.0,1
Suite,75,3,1,0,low,0,5,16440.0,0
Deluxe,107,7,4,1,high,0,4,48841.0,0
Double,55,14,1,0,low,0,3,26799.0,0
Suite,2,12,4,1,low,0,1,94622.0,1
Double,2,1,2,0,high,1,5,3791.0,0
Deluxe,52,9,4,0,high,1,3,58580.0,1
Double,30,9,1,0,low,0,4,18127.0,0
Double,111,1,2,0,high,3,0,3733.0,1
Single,14,10,3,1,low,0,2,15618.0,1
Suite,106,8,4,1,high,0,1,96789.0,1
Single,26,10,1,1,low,0,4,13174.0,0
Single,14,5,1,1,mid,0,2,8247.0,0
Suite,33,4,3,1,low,0,0,32100.0,0
Deluxe,17,11,1,0,mid,2,3,40443.0,1
Double,48,11,4,0,low,0,0,24876.0,0
Deluxe,39,3,1,1,mid,0,2,14058.0,0
Double,64,4,4,1,mid,0,5,12671.0,1
Single,64,9,3,1,low,0,2,13857.0,0
Deluxe,0,12,4,0,high,1,2,74173.0,0
Single,15,3,1,0,low,1,0,3588.0,0
Deluxe,19,4,2,1,low,1,2,17963.0,0
Suite,23,12,2,0,low,1,5,63583.0,0
Suite,11,10,1,1,low,0,5,59716.0,1
Double,38,13,1,1,low,0,5,28670.0,0
Suite,66,11,2,0,mid,1,2,73085.0,1
Deluxe,37,14,3,1,mid,0,0,65498.0,0
Double,39,3,3,1,mid,0,1,10506.0,1
Single,56,4,1,0,mid,0,1,6010.0,1
Double,66,4,1,1,high,1,0,14706.0,1
Deluxe,40,1,3,0,low,0,4,3918.0,0
Suite,26,11,2,0,mid,5,3,76830.0,1
Single,49,10,4,0,high,0,4,23576.0,0
Deluxe,2,2,2,1,low,0,1,9207.0,0
Suite,59,3,2,1,mid,0,4,26021.0,0
Suite,113,3,1,1,high,0,0,32528.0,1
Double,48,6,2,1,mid,0,4,17617.0,0
Single,13,7,3,0,high,1,4,14989.0,0
Double,85,5,2,1,low,0,1,13139.0,0
Suite,15,14,3,0,mid,0,1,100345.0,0
Suite,23,3,1,1,low,0,2,18024.0,0
Deluxe,17,8,3,1,low,0,3,32351.0,0
Single,106,7,2,1,high,3,3,16151.0,1
Single,118,6,4,1,low,0,0,10259.0,1
Double,68,12,2,1,high,1,2,47463.0,0
Deluxe,74,14,1,1,mid,0,3,64999.0,1
Single,78,1,3,0,high,0,3,2060.0,1
Deluxe,73,7,1,1,high,2,3,41484.0,0
Deluxe,65,2,4,1,mid,0,3,11333.0,0
Single,119,7,2,1,high,2,2,16400.0,0
Single,88,9,4,1,high,0,3,24559.0,1
Double,10,6,3,0,mid,0,2,16654.0,0
Deluxe,47,5,2,0,mid,3,1,20361.0,1
Suite,117,5,3,0,low,0,1,33178.0,0
Double,48,5,1,0,low,4,2,10484.0,1
Double,24,5,1,0,low,3,0,10435.0,1
Suite,105,6,4,1,mid,0,1,57434.0,1
Double,75,10,4,1,low,0,0,26771.0,0
Double,68,2,4,1,mid,2,2,8054.0,1
Double,50,1,2,1,mid,0,2,3161.0,1
Single,15,8,2,1,mid,1,0,14389.0,1
Double,46,10,2,1,high,0,0,37176.0,0
Deluxe,52,4,3,1,high,0,3,28215.0,0
Suite,112,3,3,0,high,0,1,32521.0,1
Deluxe,37,9,4,1,mid,1,5,42714.0,0
Suite,18,6,4,1,low,1,0,46630.0,0
Deluxe,51,11,2,1,high,1,2,63957.0,0
Single,120,3,3,1,low,0,4,4850.0,0
Double,58,2,3,0,low,0,0,4620.0,1
Suite,45,8,4,0,low,0,2,55013.0,1
Single,80,6,2,0,mid,0,2,9879.0,1
Suite,78,11,1,0,mid,0,3,69752.0,0
Deluxe,36,8,2,0,low,0,5,25706.0,0
Double,117,5,3,1,high,0,3,20497.0,0
Suite,71,3,4,0,low,0,2,21282.0,0
Suite,6,3,4,1,low,1,2,23179.0,0
Single,49,11,1,1,low,0,3,14737.0,1
Single,111,4,3,1,low,4,1,7046.0,0
Deluxe,47,8,1,0,high,0,4,39019.0,0
Suite,68,12,2,0,low,0,2,68891.0,1
Single,74,13,4,1,low,2,0,20354.0,1
Deluxe,85,4,4,1,low,0,3,18220.0,0
Single,105,2,1,1,high,2,1,4655.0,0
Deluxe,18,11,1,0,high,0,2,51687.0,0
Deluxe,62,10,3,0,mid,0,1,40517.0,1
Single,64,5,2,0,mid,1,0,7146.0,0
Deluxe,18,9,2,1,high,0,1,55712.0,0
Suite,81,3,4,1,low,0,5,26276.0,0
Suite,14,10,4,0,low,0,1,69514.0,0
Single,55,11,4,0,mid,0,4,19788.0,0
Single,39,5,4,1,low,0,2,8433.0,0
Single,18,7,4,1,mid,1,0,14673.0,0
Double,99,5,3,1,mid,0,5,15125.0,0
Single,29,1,4,0,low,4,5,1637.0,1
Suite,30,2,3,1,mid,0,1,20009.0,0
Suite,103,14,1,0,low,0,1,74277.0,0
Suite,106,7,4,1,low,0,5,60468.0,0
Single,4,3,4,0,high,1,0,7161.0,0
Single,33,1,2,0,mid,2,5,1609.0,0
Suite,85,5,2,1,low,0,1,33847.0,1
Double,94,14,3,1,low,0,5,34587.0,1
Deluxe,120,6,3,0,low,1,5,22784.0,1
Suite,67,14,3,1,low,0,1,96802.0,1
Single,0,7,2,0,low,0,1,9730.0,0
Single,105,11,4,0,low,1,0,15268.0,1
Single,19,11,4,0,high,0,4,25288.0,0
Single,14,1,4,1,high,1,2,2865.0,1
Single,81,1,3,0,high,1,3,2214.0,1
Suite,73,13,1,1,mid,0,3,83356.0,1
Deluxe,7,14,4,1,mid,0,3,67406.0,0
Suite,20,2,1,0,mid,0,1,12902.0,0
Suite,71,10,1,0,high,1,2,82402.0,0
Suite,30,13,2,0,mid,0,3,84656.0,0
Single,82,14,1,0,mid,0,0,18137.0,0
Double,49,5,3,1,high,0,2,20891.0,0
Suite,71,12,2,1,mid,0,4,103025.0,0
Single,57,10,1,0,low,0,2,10871.0,0
Single,44,13,1,0,low,0,2,15468.0,1
Deluxe,41,3,1,1,mid,0,5,13414.0,0
Suite,84,9,3,1,low,0,3,63560.0,0
Suite,62,1,4,0,low,1,4,7595.0,0
Suite,71,6,2,0,low,1,0,35799.0,1
Single,69,1,1,1,low,0,5,1407.0,0
Suite,25,7,3,1,high,0,4,90373.0,1
Suite,110,12,4,1,low,0,4,80674.0,1
Deluxe,68,10,1,0,low,0,4,30561.0,0
Suite,86,5,4,0,mid,5,3,42060.0,1
Suite,106,6,1,0,low,0,3,36303.0,0
Double,111,6,2,1,mid,0,3,17346.0,0
Single,80,11,3,0,mid,0,2,19518.0,1
Double,95,4,1,1,low,1,4,9842.0,1
Single,57,2,2,1,mid,0,2,3252.0,0
Single,89,8,1,0,low,4,4,8797.0,1
Single,38,12,1,0,mid,0,2,16210.0,0
Deluxe,86,7,4,0,high,0,2,41540.0,0
Deluxe,10,3,1,1,high,0,0,18758.0,0
Deluxe,110,1,1,1,low,1,5,3821.0,1
Deluxe,29,14,1,1,mid,0,4,52677.0,0
Deluxe,79,11,1,1,high,3,1,58514.0,1
Deluxe,1,3,3,0,high,3,0,21121.0,1
Single,18,2,4,0,low,0,5,2814.0,1
Suite,119,2,1,0,mid,0,0,14584.0,1
Double,100,6,3,1,low,0,2,17026.0,1
Single,26,12,2,0,low,1,0,14463.0,1
Suite,15,3,1,0,mid,1,4,19135.0,0
Deluxe,98,12,3,1,mid,0,1,58572.0,0
Single,119,1,1,0,low,4,2,1244.0,1
Single,20,11,3,1,high,0,3,24717.0,0
Single,80,4,3,1,mid,2,2,8505.0,1
Double,34,14,3,1,high,2,4,52412.0,0
Single,90,7,1,1,high,0,3,14195.0,0
Deluxe,50,4,2,0,high,0,2,22951.0,0
Deluxe,15,4,3,1,high,0,1,27855.0,0
Suite,39,12,4,1,low,3,2,97350.0,1
Deluxe,65,6,1,1,low,0,1,21863.0,1
Deluxe,96,5,2,0,high,2,3,27476.0,1
Deluxe,2,11,4,0,low,0,4,46682.0,0
Single,115,8,2,0,low,0,3,10347.0,1
Single,78,10,2,1,mid,3,0,17148.0,1
Deluxe,105,7,4,0,low,0,5,28118.0,1
Single,112,1,4,1,low,1,4,1833.0,1
Single,18,1,3,0,mid,0,4,1704.0,0
Single,11,1,3,1,low,0,0,1772.0,0
Suite,93,9,3,1,mid,0,4,75927.0,0
Double,22,8,2,0,low,0,2,17762.0,0
Deluxe,17,11,4,1,mid,1,5,60388.0,0
Double,56,13,1,0,low,0,4,23486.0,0
Single,110,3,1,0,mid,0,5,4940.0,0
Double,96,14,3,0,low,0,0,28954.0,0
Single,62,14,4,0,low,1,3,18577.0,0
Suite,23,9,4,1,high,2,4,114591.0,0
Single,40,8,3,1,low,1,3,12934.0,0
Double,83,3,2,1,mid,5,4,9161.0,1
Suite,19,3,2,1,low,0,4,22615.0,0
Deluxe,63,1,2,0,low,0,0,3718.0,1
Double,1,10,2,0,low,0,1,25346.0,1
Deluxe,39,7,2,1,high,0,3,44013.0,1
Suite,30,3,1,0,low,1,2,16746.0,0
Double,82,2,2,1,low,1,2,5082.0,1
Deluxe,110,1,4,1,mid,0,5,5838.0,1
Suite,17,9,3,1,low,3,0,67318.0,1
Deluxe,96,10,1,1,high,0,3,57094.0,0
Double,79,9,2,1,high,1,1,33233.0,1
Single,117,2,2,1,mid,0,0,3893.0,1
Single,110,1,2,0,mid,1,2,1777.0,1
Suite,12,2,3,0,low,0,2,13686.0,0
Deluxe,89,11,4,1,high,3,2,83135.0,1
Double,71,11,3,1,mid,3,0,34447.0,1
Double,13,5,2,1,low,0,4,14074.0,0
Deluxe,31,1,1,0,high,0,2,5528.0,0
Deluxe,112,5,1,1,high,1,3,30012.0,1
Deluxe,65,12,4,1,mid,0,3,63485.0,1
Double,40,3,3,0,low,0,3,7090.0,0
Deluxe,38,12,3,0,mid,0,3,50564.0,0
Double,101,7,3,1,high,2,1,31596.0,0
Suite,34,2,4,0,mid,1,2,17891.0,0
Single,19,14,4,0,low,0,3,19227.0,0
Single,69,8,1,0,low,3,0,9581.0,1
Double,120,10,2,1,low,0,4,24927.0,1
Deluxe,22,2,1,0,low,0,2,6976.0,1
Deluxe,30,6,2,1,high,5,1,39662.0,1
Double,56,9,3,0,low,0,0,20757.0,1
Suite,24,10,1,0,low,0,1,51913.0,1
Double,78,1,1,1,high,0,2,3752.0,0
Single,30,9,2,0,mid,2,5,13723.0,0
Single,15,14,3,1,low,0,3,21578.0,1
Suite,31,12,3,1,high,0,2,139361.0,0
Single,112,3,1,1,low,0,0,4165.0,0
Suite,113,13,1,0,high,0,1,107291.0,1
Double,61,10,4,0,low,0,5,22571.0,1
Single,48,1,3,1,mid,0,0,1862.0,0
Double,99,2,4,0,mid,3,3,6163.0,0
Deluxe,23,13,4,0,low,1,3,51506.0,0
Double,79,3,4,0,mid,2,1,9159.0,1
Suite,82,2,3,0,low,3,5,14970.0,1
Deluxe,85,7,4,0,mid,3,2,32369.0,1
Double,26,8,2,1,low,1,3,19667.0,1
Deluxe,86,9,4,0,high,0,0,52696.0,0
Suite,74,10,2,1,mid,2,5,77742.0,1
Double,105,14,2,1,mid,0,0,35569.0,1
Single,21,11,3,0,low,0,1,13511.0,0
Double,74,1,2,1,mid,0,5,2923.0,1
Suite,100,2,1,0,mid,0,3,13919.0,0
Single,33,1,4,0,low,0,4,1523.0,0
Suite,89,6,2,0,mid,1,1,42015.0,1
Deluxe,12,5,4,1,low,0,4,23749.0,0
Deluxe,86,14,2,1,low,0,5,47451.0,1
Double,73,6,4,1,mid,0,3,20403.0,1
Suite,23,1,3,1,low,2,1,8274.0,1
Single,8,13,4,0,low,0,5,18932.0,0
Double,90,4,4,1,mid,0,0,14189.0,0
Double,29,13,1,1,mid,1,5,32804.0,0
Double,60,11,4,0,low,2,0,25273.0,1
Double,7,13,4,0,low,0,0,30020.0,0
Single,116,12,3,0,mid,1,0,20120.0,1
Single,66,3,4,0,mid,0,1,5543.0,1
Single,112,9,4,0,mid,3,4,15318.0,1
Deluxe,19,6,3,1,mid,0,2,31272.0,0
Double,24,9,2,0,high,1,0,30256.0,1
Deluxe,73,11,4,1,high,0,2,77095.0,0
Deluxe,73,8,1,1,low,1,5,28732.0,0
Deluxe,95,5,3,0,low,0,3,18538.0,0
Deluxe,112,13,4,1,low,0,4,58228.0,1
Deluxe,99,10,4,0,low,1,1,34624.0,0
Deluxe,16,13,2,0,low,1,3,43013.0,0
Deluxe,37,4,1,1,high,0,4,23520.0,0
Deluxe,110,12,2,1,low,2,4,40803.0,1
Double,66,5,4,0,low,0,0,12032.0,1
Single,104,7,3,1,mid,0,3,13143.0,1
Suite,68,13,1,1,high,0,4,124955.0,0
Double,6,5,1,1,low,0,0,12164.0,0
Deluxe,57,4,2,1,high,2,2,27074.0,1
Single,99,13,2,0,high,0,3,23084.0,1
Double,79,14,1,0,mid,3,0,31025.0,1
Deluxe,16,5,2,0,mid,0,4,21491.0,0
Deluxe,25,5,2,1,mid,1,5,24107.0,0
Deluxe,103,4,1,1,low,0,3,15552.0,0
Double,118,1,1,1,mid,1,2,2597.0,0
Suite,91,8,3,1,low,3,0,56130.0,1
Deluxe,11,4,4,1,mid,0,4,23643.0,0
Suite,74,12,4,0,high,0,5,123398.0,0
Deluxe,100,3,3,0,low,1,5,12884.0,1
Deluxe,77,9,1,1,mid,1,3,35653.0,0
Suite,71,8,4,0,low,0,0,59184.0,0
Single,56,9,4,1,low,1,1,14595.0,1
Suite,29,2,2,0,mid,1,1,15614.0,1
Suite,33,7,2,1,low,1,0,47907.0,1
Deluxe,90,9,1,1,high,0,0,51716.0,0
Deluxe,8,5,4,1,low,0,3,23965.0,0
Deluxe,10,13,4,1,high,4,0,85391.0,0
Double,47,8,1,1,low,0,0,18910.0,1
Suite,93,6,3,1,low,0,5,44641.0,1
Single,79,1,2,0,high,5,3,2206.0,1
Double,71,3,3,1,mid,0,4,8508.0,0
Deluxe,64,7,1,1,low,0,1,25294.0,1
Suite,13,6,4,0,high,1,2,71012.0,0
Double,40,13,2,0,low,1,3,27167.0,0
Double,9,12,4,0,low,4,4,29389.0,0
Single,91,3,1,1,mid,1,2,5085.0,1
Single,90,9,3,1,mid,0,5,17957.0,0
Single,31,7,2,0,mid,0,4,10813.0,1
Single,35,2,4,1,high,0,1,5529.0,0
Suite,38,10,3,0,mid,3,0,77051.0,1
Suite,107,8,3,1,low,0,0,61778.0,1
Suite,59,2,1,0,low,0,5,12152.0,0
Single,92,7,3,0,low,0,4,9536.0,1
Single,54,11,1,0,mid,0,2,15059.0,1
Double,84,5,2,0,low,0,4,11783.0,0
Deluxe,63,5,1,0,mid,1,5,19658.0,0
Double,33,2,1,1,mid,0,0,5272.0,1
Double,106,3,3,0,high,4,5,11148.0,0
Single,85,14,1,0,low,3,2,15005.0,1
Deluxe,93,9,3,1,low,0,2,36138.0,0
Double,114,3,4,0,high,2,0,11005.0,1
Single,30,7,1,0,mid,0,4,10803.0,1
Deluxe,11,3,3,1,mid,0,3,15000.0,0
Suite,70,7,2,0,mid,0,0,47745.0,0
Single,39,3,2,1,high,2,3,6676.0,0
Double,52,9,3,0,low,1,0,21294.0,1
Suite,28,8,3,1,high,0,1,93365.0,1
Deluxe,48,9,3,0,low,1,3,32083.0,0
Suite,47,7,1,1,high,1,4,70443.0,1
Double,42,5,3,1,low,1,0,14007.0,0
Double,89,4,2,1,low,0,2,9995.0,1
Deluxe,71,4,2,0,low,2,1,12831.0,1
Single,57,7,4,0,high,1,4,15455.0,1
Single,13,7,1,1,high,0,4,14294.0,1
Deluxe,69,10,2,0,low,2,3,33875.0,1
Deluxe,21,1,2,0,low,0,4,3843.0,0
Single,38,4,1,1,low,1,2,6106.0,0
Deluxe,50,12,4,0,low,1,3,41346.0,1
Double,17,13,2,0,high,0,1,42992.0,0
Deluxe,47,14,3,1,low,0,5,53545.0,0
Suite,32,5,2,1,high,1,1,64572.0,1
Single,102,2,4,1,high,2,5,6113.0,1
Suite,104,3,3,1,low,2,4,25321.0,1
Double,0,2,2,0,mid,1,5,6117.0,1
Suite,72,14,4,0,high,0,3,145450.0,0
Double,77,13,4,1,high,0,2,53950.0,1
Double,45,12,3,1,mid,1,1,34550.0,1
Suite,56,11,1,0,low,0,1,56548.0,0
Deluxe,95,5,3,1,low,1,5,22443.0,1
Single,45,7,3,1,high,0,0,19162.0,1
Deluxe,7,12,2,0,low,0,4,38517.0,0
Suite,45,12,1,1,mid,1,4,82869.0,0
Double,30,8,3,0,mid,1,0,19976.0,0
Suite,46,12,4,0,mid,1,5,93837.0,1
Deluxe,27,5,2,1,low,0,0,21515.0,1
Double,18,6,2,0,low,2,0,13918.0,0
Single,119,12,1,0,high,0,3,23118.0,1
Deluxe,15,6,3,1,low,1,0,26390.0,1
Single,85,11,4,0,low,1,0,15722.0,0
Suite,86,7,4,0,high,0,3,82048.0,0
Deluxe,74,5,2,1,mid,1,5,22523.0,0
Double,110,4,1,0,mid,0,0,9486.0,1
Single,0,9,2,1,high,0,3,24867.0,0
Deluxe,36,7,4,0,mid,1,3,30883.0,1
Single,22,6,1,1,high,0,0,13251.0,0
Double,69,11,1,0,high,3,0,34467.0,1
Suite,76,1,4,1,low,0,2,8520.0,0
Suite,108,2,3,1,low,0,4,16619.0,0
Suite,45,14,1,1,low,1,1,89699.0,0
Suite,28,10,1,0,mid,0,2,65228.0,1
Deluxe,111,8,2,0,mid,5,2,34375.0,1
Single,81,1,3,1,mid,0,4,1908.0,0
Suite,92,9,4,0,high,0,1,96261.0,0
Suite,53,7,4,1,mid,0,4,73580.0,0
Suite,54,9,2,1,high,0,4,106622.0,0
Deluxe,47,1,2,1,mid,0,3,4651.0,0
Single,90,8,4,0,mid,0,4,13830.0,1
Deluxe,25,9,4,1,low,0,1,40418.0,0
Double,118,5,1,1,mid,0,5,14087.0,0
Suite,21,1,3,0,mid,0,1,8637.0,0
Double,55,14,3,1,low,0,1,37702.0,0
Double,38,10,1,0,high,0,3,30770.0,0
Single,77,9,4,0,mid,0,2,16265.0,0
Suite,82,11,2,0,low,0,2,65679.0,0
